id,category,task,system,score,verdict,coverage,failed,time,retries
1,خدمات,صفحة مطعم شرقي مع قائمة وحجز طاولة,Single-Agent,10/10,PASS,80.0,,8.8,0
1,خدمات,صفحة مطعم شرقي مع قائمة وحجز طاولة,Single+Validator,10/10,PASS,80.0,,9.6,0
1,خدمات,صفحة مطعم شرقي مع قائمة وحجز طاولة,Multi-No-Validator,10/10,PASS,100.0,,14.7,0
1,خدمات,صفحة مطعم شرقي مع قائمة وحجز طاولة,HDAFA,10/10,PASS,100.0,,13.7,0
2,خدمات,صفحة عيادة طبية مع خدمات وحجز موعد,Single-Agent,10/10,PASS,100.0,,9.0,0
2,خدمات,صفحة عيادة طبية مع خدمات وحجز موعد,Single+Validator,10/10,PASS,100.0,,8.1,0
2,خدمات,صفحة عيادة طبية مع خدمات وحجز موعد,Multi-No-Validator,10/10,PASS,100.0,,11.5,0
2,خدمات,صفحة عيادة طبية مع خدمات وحجز موعد,HDAFA,10/10,PASS,100.0,,11.4,0
3,خدمات,صفحة صالون حلاقة مع أسعار وحجز,Single-Agent,10/10,PASS,80.0,,8.1,0
3,خدمات,صفحة صالون حلاقة مع أسعار وحجز,Single+Validator,10/10,PASS,80.0,,7.5,0
3,خدمات,صفحة صالون حلاقة مع أسعار وحجز,Multi-No-Validator,10/10,PASS,100.0,,11.2,0
3,خدمات,صفحة صالون حلاقة مع أسعار وحجز,HDAFA,10/10,PASS,100.0,,11.2,0
4,متاجر,متجر ملابس مع فلترة وسلة ودفع,Single-Agent,10/10,PASS,100.0,,12.9,0
4,متاجر,متجر ملابس مع فلترة وسلة ودفع,Single+Validator,8/10,FAIL,80.0,div_balance | body,26.8,2
4,متاجر,متجر ملابس مع فلترة وسلة ودفع,Multi-No-Validator,10/10,PASS,100.0,,8.4,0
4,متاجر,متجر ملابس مع فلترة وسلة ودفع,HDAFA,10/10,PASS,100.0,,7.9,0
5,متاجر,متجر إلكترونيات مع مواصفات ومقارنة,Single-Agent,10/10,PASS,100.0,,7.1,0
5,متاجر,متجر إلكترونيات مع مواصفات ومقارنة,Single+Validator,10/10,PASS,100.0,,9.1,0
5,متاجر,متجر إلكترونيات مع مواصفات ومقارنة,Multi-No-Validator,10/10,PASS,100.0,,7.2,0
5,متاجر,متجر إلكترونيات مع مواصفات ومقارنة,HDAFA,10/10,PASS,100.0,,10.4,0
6,متاجر,متجر كتب مع تصنيفات وبحث,Single-Agent,10/10,PASS,100.0,,10.9,0
6,متاجر,متجر كتب مع تصنيفات وبحث,Single+Validator,10/10,PASS,100.0,,9.0,0
6,متاجر,متجر كتب مع تصنيفات وبحث,Multi-No-Validator,10/10,PASS,100.0,,12.1,0
6,متاجر,متجر كتب مع تصنيفات وبحث,HDAFA,10/10,PASS,100.0,,10.5,0
7,هبوط,صفحة هبوط لتطبيق جوال مع تحميل,Single-Agent,10/10,PASS,60.0,,8.9,0
7,هبوط,صفحة هبوط لتطبيق جوال مع تحميل,Single+Validator,10/10,PASS,60.0,,9.8,0
7,هبوط,صفحة هبوط لتطبيق جوال مع تحميل,Multi-No-Validator,10/10,PASS,100.0,,12.8,0
7,هبوط,صفحة هبوط لتطبيق جوال مع تحميل,HDAFA,10/10,PASS,100.0,,10.8,0
8,هبوط,صفحة هبوط لدورة تدريبية مع تسجيل,Single-Agent,10/10,PASS,80.0,,7.2,0
8,هبوط,صفحة هبوط لدورة تدريبية مع تسجيل,Single+Validator,10/10,PASS,80.0,,6.5,0
8,هبوط,صفحة هبوط لدورة تدريبية مع تسجيل,Multi-No-Validator,10/10,PASS,100.0,,12.4,0
8,هبوط,صفحة هبوط لدورة تدريبية مع تسجيل,HDAFA,10/10,PASS,100.0,,11.5,0
9,هبوط,صفحة هبوط لمنتج SaaS مع اشتراك,Single-Agent,10/10,PASS,100.0,,10.9,0
9,هبوط,صفحة هبوط لمنتج SaaS مع اشتراك,Single+Validator,10/10,PASS,80.0,,10.5,0
9,هبوط,صفحة هبوط لمنتج SaaS مع اشتراك,Multi-No-Validator,10/10,PASS,100.0,,11.4,0
9,هبوط,صفحة هبوط لمنتج SaaS مع اشتراك,HDAFA,10/10,PASS,100.0,,13.6,0
10,شخصي,صفحة شخصية لمصمم جرافيك مع أعمال,Single-Agent,10/10,PASS,100.0,,9.5,0
10,شخصي,صفحة شخصية لمصمم جرافيك مع أعمال,Single+Validator,10/10,PASS,100.0,,11.4,0
